TDS_gL,MLR,Light_kW_m2,Selectivity,Li_Crystallization_mg_m2_h,Evap_kg_m2_h,SampleID
1.0,80.0,1.0,4.24006,0.39317,1.263876635205472,1
1.0,130.0,1.0,9.05684,0.20764,1.263876635205472,2
1.0,300.0,1.0,11.12639,0.12903,1.263876635205472,3
1.0,900.0,1.0,12.47143,0.12756,1.263876635205472,4
1.0,1400.0,1.0,15.84229,0.31926,1.263876635205472,5
256.0,1400.0,1.0,14.532266133066532,0.3799638279468427,1.2612612044312361,6
331.0,1400.0,1.0,13.222894923184631,0.34494508662944606,1.261114044704763,7
331.0,1400.0,0.5,11.705187381176215,0.14573667793766873,1.1821948137643108,8
331.0,1400.0,1.0,12.15789,0.21625,1.2633424139029164,9
331.0,1400.0,1.5,13.41169152192774,0.4774885760967385,1.5209248738525,10
