SampleID,TDS_gL,MLR,Light_kW_m2,Selectivity,Li_Crystallization_mg_m2_h,Evap_kg_m2_h
1,1,10,1,2.252252252,0.471809389,1.32039659
2,1,10,1,2.322274882,0.462373201,1.28610057
3,1,10,1,2.848837209,0.462373201,1.25752056
4,1,20,1,3.96039604,0.382165605,1.25752056
5,1,20,1,2.813238771,0.401037981,1.25752056
6,1,20,1,3.786407767,0.368011323,1.23656188
7,1,20,1,2.662116041,0.368011323,1.2378718
8,1,80,1,6.4604811,0.295667217,1.25752056
9,1,80,1,8.547008547,0.289376425,1.25752056
10,1,80,1,6.4604811,0.289376425,1.25752056
11,1,80,1,8.547008547,0.314539593,1.25752056
12,1,300,1,9.090909091,0.228041205,1.25752056
13,1,300,1,9.090909091,0.220177715,1.25752056
14,1,300,1,9.090909091,0.279153888,1.25752056
15,1,900,1,11.01880192,0.220177715,1.25752056
16,1,900,1,11.09004739,0.204450735,1.25752056
17,1,900,1,10.26766125,0.204450735,1.23333747
18,1,900,1,11.88903567,0.209693062,1.23506484
19,1,1400,1,22.6475,0.209365416,1.25752056
20,1,1400,1,22.6475,0.191082803,1.25752056
21,1,1400,1,22.6475,0.190689628,1.25752056
22,256,1400,1,14.53226613,0.410474168,1.25752056
23,256,1400,1,14.53226613,0.391601793,1.29245169
24,256,1400,1,14.53226613,0.419910356,1.28895857
25,256,1400,1,14.53226613,0.410474168,1.28610057
26,256,1400,1,14.53226613,0.391601793,1.25752056
27,256,1400,1,14.53226613,0.419910356,1.25752056
28,256,1400,1,14.53226613,0.410474168,1.27997628
29,256,1400,1,14.53226613,0.391601793,1.23656188
30,256,1400,1,14.53226613,0.419910356,1.25752056
31,256,1400,1,14.53226613,0.410474168,1.25752056
32,256,1400,1,14.53226613,0.391601793,1.240055
33,256,1400,1,14.53226613,0.419910356,1.24097424
34,256,1400,1,14.53226613,0.419910356,1.24180155
35,331,1400,1,10.7646305,0.382165605,1.23132221
36,331,1400,1,11.0989011,0.428874735,1.23333747
37,331,1400,1,12.22707424,0.382165605,1.25752056
38,331,1400,1,13.70309951,0.382165605,1.27847924
39,331,1400,1,13.23636364,0.414012739,1.27716932
40,331,1400,1,13.23636364,0.414012739,1.27601351
41,331,1400,1,13.23636364,0.414012739,1.27498612
42,331,1400,0.5,11.70518738,0.140669096,1.19015339
43,331,1400,0.5,11.70518738,0.148095725,1.19464453
44,331,1400,0.5,11.70518738,0.149930539,1.17892552
45,331,1400,0.5,11.70518738,0.149930539,1.16505581
46,331,1400,1,12.15789079,0.184792011,1.21479
47,331,1400,1,12.15789079,0.235904695,1.23474
48,331,1400,1,12.15789079,0.228041205,1.23169
49,331,1400,1,12.15789079,0.184792011,1.26175
50,331,1400,1,12.15789079,0.235904695,1.26225
51,331,1400,1,12.15789079,0.228041205,1.25704
52,331,1400,1,12.15789079,0.184792011,1.21245
53,331,1400,1,12.15789079,0.235904695,1.21739
54,331,1400,1,12.15789079,0.228041205,1.24018
55,331,1400,1,12.15789079,0.184792011,1.23045
56,331,1400,1,12.15789079,0.235904695,1.22352
57,331,1400,1,12.15789079,0.228041205,1.23293
58,331,1400,1,12.15789079,0.184792011,1.22343
59,331,1400,1,12.15789079,0.235904695,1.21121
60,331,1400,1,12.15789079,0.228041205,1.24738
61,331,1400,1,12.15789079,0.184792011,1.25037
62,331,1400,1,12.15789079,0.235904695,1.23787
63,331,1400,1,12.15789079,0.228041205,1.20629
64,331,1400,1,12.15789079,0.184792011,1.2234
65,331,1400,1,12.15789079,0.235904695,1.23088
66,331,1400,1,12.15789079,0.228041205,1.2354
67,331,1400,1,12.15789079,0.184792011,1.24396
68,331,1400,1,12.15789079,0.235904695,1.22652
69,331,1400,1,12.15789079,0.228041205,1.24121
70,331,1400,1,12.15789079,0.184792011,1.24055
71,331,1400,1,12.15789079,0.235904695,1.23328
72,331,1400,1,12.15789079,0.228041205,1.25106
73,331,1400,1,12.15789079,0.184792011,1.23489
74,331,1400,1,12.15789079,0.235904695,1.26273
75,331,1400,1,12.15789079,0.228041205,1.23732
76,331,1400,1.5,13.41169152,0.482294042,1.52474368
77,331,1400,1.5,13.41169152,0.461324736,1.52698925
78,331,1400,1.5,13.41169152,0.498021022,1.51474067
79,331,1400,1.5,13.41169152,0.498021022,1.51722589
