Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Salt lake brine,Dead Sea (Dea.) ,Israel,0.018,33.31,19.225,7.01,12.33,0.61,,1850.555555555556,225.82
Salt lake brine,Dead Sea (Dea.) ,Israel,0.02,52.0,33.0,8.0,18.6,0.35,224.0,2600.0,
Salt lake brine,Dead Sea (Dea.) ,Israel,0.012,30.9,30.1,5.6,12.9,0.61,161.0,2575.0,
Salt lake brine,Dead Sea (Dea.) ,Jordan,0.0467,65.194,1.696,1.356,24.614,,233.94,1396.0171306209852,326.8467
Salt lake brine,Salton See,USA,0.22,17.1,53.7,,26.3,0.12,152.0,77.72727272727273,249.44
Salt lake brine,Great Salt Lake ,USA,0.0436,9.381,100.816,5.517,0.352,19.727,127.15,215.1605504587156,344.0
Salt lake brine,Clayton Valley ,USA,0.163,0.19,46.9,4.0,0.45,3.4,72.6,1.165644171779141,127.75
Salt lake brine,Silver Peak,USA,0.4,0.4,62.0,8.0,0.5,7.1,100.6,1.0,179.0
Salt lake brine,Smackover Formation,"AK,USA",0.174,3.5,67.0,3.0,34.452,0.45,172.0,20.114942528735632,280.576
Salt lake brine,Salar de Jama (Jam.) 1,Argentina,0.00638,0.4023,2.00426,0.20058,1.78025,7.00941,2.56043,63.0564263322884,14.8511
Salt lake brine,Salar de Jama (Jam.) 2,Argentina,0.01121,0.24311,2.85981,0.34299,0.99135,4.586609999999999,2.62716,21.686886708296164,15.11864
Salt lake brine,Salar de Jama (Jam.) 3,Argentina,0.00971,0.01729,3.52322,0.21043,0.13061,2.05134,6.17013,1.7806385169927903,12.68116
Salt lake brine,Salar de Jama (Jam.) 4,Argentina,0.00152,0.04804,3.42186,0.34395,0.12178,2.53663,4.92721,31.605263157894736,12.127680000000002
Salt lake brine,Salar de Jama (Jam.) 5,Argentina,0.00226,0.0467,4.18254,0.29661,0.06513,1.21943,5.86837,20.663716814159297,12.182480000000002
Salt lake brine,Salar de Jama (Jam.) 6,Argentina,0.26208,0.46937,60.4321,4.5906400000000005,0.64666,14.61524,97.01683,1.7909416971916974,179.74074
Salt lake brine,Salar de Jama (Jam.) 7,Argentina,0.00153,0.0479399999999999,3.47484,0.34425,0.1216899999999999,2.53517,4.92937,31.33333333333333,12.288900000000002
Salt lake brine,Salar de Jama (Jam.) 8,Argentina,0.00157,0.0474399999999999,3.482,0.34369,0.1220199999999999,2.5405300000000004,4.9302,30.21656050955414,12.30516
Salt lake brine,Salar de Jama (Jam.) 9,Argentina,0.26215,0.46732,60.42652,3.3559,0.64667,14.61559,97.01784,1.7826435246995995,178.49501
Salt lake brine,Salar de Jama (Jam.) 10,Argentina,0.26122,0.49197,60.43679,4.65847,0.6455299999999999,14.61578,97.01674,1.8833550264145165,179.81997
Salt lake brine,Olaroz (Ola.) 1,Argentina,0.7712100000000001,1.5393,112.19111,5.05143,0.58368,9.67798,181.74888,1.9959544093048585,314.07427
Salt lake brine,Olaroz (Ola.) 2,Argentina,0.96788,1.98075,112.1902,5.5043,0.5292100000000001,10.22233,181.00279,2.0464830350869945,314.90576
Salt lake brine,Olaroz (Ola.) 3,Argentina,1.00699,1.97171,107.65441,6.01897,0.5262899999999999,10.19176,179.62685000000002,1.958023416319924,309.73385
